"LIBRARYREFERENCE","FOOTPRINT1","COMMENT","SHEETPART","DESIGNATOR","DESCRIPTION"
"Accel","Accel","*","*","AC?",""
"Alimentacion","Alimentacion","*","*","PW?",""
"Arduino","Arduino","*","*","ARD?",""
"Driver","Driver","*","*","DC?",""
"GyroXY","GYRO_XY","*","*","GXY?",""
"GyroZ","Gyro_Z","*","*","GZ?",""
"HumeT","HUMET","*","*","HT?",""
"Lint_Del","Lint_Del","*","*","LD?",""
"Lint_Tra","Lint_Tra","*","*","LT?",""
"Temp","TEMP","*","*","TMP?",""
"Termo","Termo","*","*","TC?",""
"Tilt","TILT","*","*","TL?",""
